play,comments,danmu,favorites,coins
11,0,0,0,0
471,26,62,1,8
92,0,0,0,1
199,2,2,1,0
280,2,194,6,3
108,2,3,2,3
1771,25,25,34,13
396,2,9,14,0
508,1,0,14,3
8039,15,239,121,35
97,4,3,11,2
7,2,0,0,0
74,4,0,6,5
217,17,2,3,10
763,5,20,2,0
132,4,1,0,2
59,0,1,0,0
187,0,2,6,2
156,14,6,14,6
392,23,18,36,55
833,3,44,12,4
73,1,2,2,0
58,2,5,1,0
223,4,2,37,6
22244,82,143,220,140
105,3,10,5,7
205,3,61,2,0
3836,8,87,94,21
337,2,19,12,2
580,28,28,6,9
5,1,0,0,0
265,0,5,0,5
86,0,2,0,1
407,3,123,31,12
235,4,2,6,1
67,0,0,11,0
34,0,0,0,0
667,7,58,37,4
12353,16,921,446,56
430,21,6,20,17
28,0,0,0,0
9,2,0,0,0
1003,55,10,309,34
7,0,0,0,0
209,5,51,10,31
358,7,3,63,3
2807,24,196,44,4
137,2,7,6,4
43,2,0,0,4
467,5,3,4,4
291,5,8,10,2
261,14,2,0,2
29,5,1,4,2
1068,9,92,37,1
179,0,0,1,2
44,6,24,0,0
400,39,19,32,29
70,0,1,1,0
26,1,0,0,0
162,1,4,2,6
447,8,7,4,0
1080,10,30,10,6
97,0,2,6,1
24,0,1,10,0
144,4,4,4,11
238,9,8,4,13
116,14,2,9,0
414,2,28,4,4
171,3,2,4,7
106,13,0,2,7
16,1,1,1,1
11,0,0,0,0
1162,4,7,32,3
26299,41,682,367,14
70,0,0,1,0
258,3,12,14,1
877,0,12,60,5
103,3,3,6,2
80,0,1,0,0
20,0,0,0,0
71,1,5,1,2
60,3,1,6,1
20160,94,602,374,194
0,1,0,0,0
19,0,2,0,0
49,3,0,2,1
16,0,0,0,0
154,5,4,3,4
46,3,2,6,2
290,3,2,47,0
233,10,9,1,6
114,35,1,9,3
908,32,40,67,29
173,1,1,4,1
31,0,0,1,0
349,3,1,33,0
46,11,3,0,12
210,14,5,9,18
55,0,5,0,0
203,5,2,3,4
17,0,0,0,2
183,24,7,3,10
108,4,4,3,2
330,3,16,19,19
15,0,6,1,2
151,1,3,0,0
374,8,1,14,3
29,0,0,0,0
905,0,14,96,3
211,1,28,13,8
33,2,3,0,3
33,0,0,0,0
178,2,5,2,1
34,2,3,2,3
2827,25,91,38,37
50,0,0,1,0
27,0,0,0,0
45,1,0,1,0
538,3,1,30,2
46,0,0,0,0
71,1,1,0,0
9,1,1,0,0
9,0,0,0,0
33459,104,328,394,77
16,0,0,1,0
173,1,0,10,0
130,10,6,2,4
211,5,2,0,3
41,1,0,0,0
74,5,3,5,0
69,0,0,3,0
543,2,30,22,1
1779,35,307,9,177
381,39,11,3,16
53,2,1,0,0
98,0,0,1,1
25,0,1,0,0
5,0,0,0,0
95,8,3,0,2
106,1,5,1,8
344,1,2,5,1
39,1,0,2,0
64,1,0,0,0
550,5,1,129,3
423,6,2,7,8
126,0,1,6,0
339,2,1,5,0
2807,3,8,50,2
434,30,19,16,105
183,1,15,5,0
981,6,0,11,0
408,6,18,29,3
91,1,3,0,4
1244,7,11,60,13
46,0,0,3,0
32,0,4,2,1
21,0,0,0,0
226,4,3,0,4
25,0,0,2,0
223,2,4,2,2
102,2,4,6,0
2335,20,27,7,18
177,1,0,0,0
592,3,4,69,4
2157,234,418,33,264
18,0,0,2,0
727,5,21,67,13
46,2,2,0,0
64,5,20,0,4
109,8,7,6,4
1121,4,12,8,11
83,4,0,0,0
460,3,1,5,2
24,0,1,0,0
3,1,0,0,0
769,7,45,32,5
525,9,16,12,11
36,0,0,0,2
594,43,23,55,10
515,11,23,27,6
255,0,4,3,4
10,0,0,0,0
385,0,3,8,2
29,1,0,3,0
13,0,3,0,0
54,0,4,1,1
51,0,0,3,0
56,3,5,1,4
480,2,2,4,1
45,0,2,1,2
28249,224,446,1274,1206
157,4,2,3,2
42,1,1,1,3
440,4,1,13,0
133,4,1,0,4
18,0,0,1,0
39002,125,5381,2767,246
363,3,1,2,0
657,1,13,19,0
1397,24,18,18,4
286,13,12,7,7
376,11,15,10,2
200,4,6,5,0
679,7,26,11,0
369,1,32,2,3
10,1,0,0,0
16,0,0,0,0
15,0,0,1,0
4,0,0,0,0
120,0,1,0,2
9,0,0,0,0
163,0,0,2,0
260,7,0,1,10
1811,39,28,207,32
241,1,3,20,3
362,8,3,3,1
24,0,2,0,1
486,11,60,11,18
205,1,2,15,1
36337,224,212,148,2343
132,2,6,5,6
19,0,0,1,2
16,1,0,1,2
13870,102,1374,42,218
116,0,0,0,2
174,2,2,0,1
102,4,22,10,5
76,4,4,4,3
7428,27,72,673,28
16,0,0,1,0
941,0,14,30,7
20,0,0,0,4
477,6,1,6,0
365,10,6,3,2
2,0,0,0,0
226,6,1,61,1
21371,103,62,239,45
374,2,2,2,0
26,1,1,0,3
137,7,2,2,13
17,0,0,0,0
910,87,104,68,113
652,2,93,14,1
16,0,0,0,0
547,11,2,1,1
26,3,8,0,5
678,3,15,3,1
761,4,31,7,12
91,1,3,11,3
35913,87,267,922,123
23,0,1,0,0
57,6,6,0,1
109,0,2,3,2
291,2,1,7,1
119,2,3,34,2
107,2,5,13,1
654,5,36,0,0
64,0,0,6,0
97,0,0,1,2
38,6,17,0,0
25,0,0,0,0
375,6,4,1,1
149,1,0,18,2
209,2,8,11,6
238,0,4,0,1
50,0,0,0,0
16,1,1,0,0
62,0,10,1,0
2773,9,79,43,8
94,10,11,0,4
404,2,11,3,1
145,4,0,0,6
179,5,1,6,0
2673,5,18,6,1
229,23,1,21,8
183,1,10,1,4
11,1,0,0,0
49,3,1,0,2
111,2,5,3,2
156,2,0,7,4
21,1,1,0,0
169,4,5,7,1
49,1,3,0,0
21,0,0,0,0
642,37,8,5,25
199,2,1,2,0
70,2,8,9,0
190,10,5,22,9
61,0,0,3,0
388,13,17,8,2
698,2,30,14,3
933,10,17,16,0
613,2,2,1,0
247,16,43,1,10
216,4,4,9,2
30,0,0,3,3
137,5,4,1,2
608,5,17,20,9
283,5,2,28,2
370,2,3,2,0
193,3,0,1,0
636,1,1,6,0
96,8,72,11,46
166,5,13,2,6
97,0,2,2,0
347,3,7,16,3
48,8,2,0,3
60,0,0,0,0
5019,33,164,175,170
1096,2,5,69,3
39,1,0,0,0
40,0,0,0,0
58,3,4,6,1
298,8,6,11,4
51,4,4,1,3
